iter	RMSE
0	1.652572581
1	1.646213202
2	1.630723537
3	1.618734797
4	1.609954099
5	1.601284459
6	1.593771322
7	1.584819334
8	1.575811157
9	1.56537379
10	1.559573147
11	1.55131105
12	1.53962405
13	1.528905377
14	1.516102378
15	1.507674788
16	1.496585809
17	1.485729075
18	1.47656428
19	1.469459473
20	1.460979449
21	1.452855188
22	1.445541839
23	1.436856422
24	1.426688448
25	1.417061423
26	1.404169103
27	1.394322203
28	1.384830264
29	1.3732182
30	1.364333041
31	1.354301514
32	1.347871566
33	1.338551048
34	1.330020295
35	1.322631639
36	1.316055895
37	1.308650795
38	1.295462632
39	1.287822127
40	1.278784489
41	1.273012306
42	1.264865689
43	1.257015848
44	1.247813021
45	1.237882008
46	1.231313057
47	1.222655421
48	1.216534678
49	1.209025332
50	1.200962839
51	1.192811784
52	1.182782882
53	1.175983089
54	1.166123897
55	1.159886959
56	1.151754636
57	1.143868004
58	1.134837825
59	1.127117305
60	1.120844775
61	1.113567278
62	1.107509282
63	1.102155061
64	1.096047221
65	1.089459212
66	1.082741115
67	1.074410397
68	1.067821269
69	1.060820576
70	1.053103413
71	1.045883166
72	1.040449799
73	1.033708835
74	1.029911194
75	1.024239262
76	1.016435109
77	1.011153257
78	1.005964922
79	1.000202964
80	0.9933092796
81	0.9876314355
82	0.9824260211
83	0.9757324936
84	0.9712255677
85	0.966228246
86	0.9608258718
87	0.9560623072
88	0.9503336484
89	0.9444564503
90	0.9398031452
91	0.9348376224
92	0.9285277308
93	0.9223961556
94	0.9173796148
95	0.9114165787
96	0.9065705153
97	0.9001056917
98	0.8939499434
99	0.8878139976
100	0.8819814939
101	0.8763454638
102	0.8718744079
103	0.8659760364
104	0.8622589023
105	0.8564242477
106	0.8524966359
107	0.8484465802
108	0.8444697333
109	0.8400969452
110	0.8358864769
111	0.830655443
112	0.8266922092
113	0.8214727484
114	0.8155075496
115	0.8109072199
116	0.8056257658
117	0.8004227211
118	0.7955846336
119	0.7909395813
120	0.7860234994
121	0.7807301338
122	0.7771456218
123	0.7732217837
124	0.7682107241
125	0.7645976271
126	0.757057902
127	0.7529043356
128	0.7477533448
129	0.7445156325
130	0.7397645878
131	0.7359518484
132	0.7316400872
133	0.7271156958
134	0.7213927403
135	0.7167311747
136	0.7121027651
137	0.7068669279
138	0.7029057612
139	0.6984387456
140	0.6943092102
141	0.6899405808
142	0.6867899059
143	0.6835938549
144	0.680089958
145	0.6760709651
146	0.6720585004
147	0.6673787251
148	0.6632298768
149	0.6600826562
150	0.6560417696
151	0.6535197491
152	0.6499511375
153	0.647290706
154	0.6436392806
155	0.6396772206
156	0.6368793418
157	0.6330386885
158	0.6301346951
159	0.6262063344
160	0.6230916853
161	0.6205964472
162	0.618036163
163	0.614012531
164	0.6115305782
165	0.6080912594
166	0.6056561262
167	0.6032103345
168	0.6001189379
169	0.5961924024
170	0.5939991643
171	0.5905260596
172	0.5856223123
173	0.5821934313
174	0.5784181198
175	0.5747175041
176	0.5715079971
177	0.5676453071
178	0.5645491501
179	0.559439052
180	0.5571824169
181	0.5550700627
182	0.5514018321
183	0.5493230956
184	0.5462378483
185	0.5431372823
186	0.5399733444
187	0.5350805329
188	0.5330962749
189	0.5301498963
190	0.5255388837
191	0.5225745671
192	0.5195837074
193	0.5166113489
194	0.513301027
195	0.5103982267
196	0.507255661
197	0.5054278534
198	0.5036203284
199	0.5007970969
200	0.4979964619
201	0.4956118757
202	0.4927226898
203	0.4898501662
204	0.4877553518
205	0.4860193736
206	0.4830066314
207	0.4807414336
208	0.4782257919
209	0.4756028407
210	0.4731272259
211	0.4715209593
212	0.4699134946
213	0.4670410955
214	0.4645575599
215	0.4626597256
216	0.4602037357
217	0.4586690467
218	0.456504626
219	0.4540958983
220	0.4516435821
221	0.447879969
222	0.4461454678
223	0.4438099127
224	0.4421132469
225	0.4400525242
226	0.4375373039
227	0.4352951636
228	0.433339505
229	0.4308147998
230	0.4286017696
231	0.4264395298
232	0.4240080066
233	0.421582698
234	0.4193306573
235	0.4175738575
236	0.4162856855
237	0.4141355935
238	0.4120948164
239	0.4098464426
240	0.4076522344
241	0.4050103849
242	0.4030373801
243	0.4007465893
