iter	Passed	Remaining
0	0	828
1	1	517
2	1	565
3	2	584
4	3	606
5	3	599
6	4	601
7	4	571
8	5	575
9	5	575
10	6	540
11	6	539
12	7	537
13	7	537
14	8	539
15	8	530
16	9	531
17	9	532
18	10	531
19	10	531
20	11	529
21	11	530
22	12	516
23	12	515
24	12	503
25	13	503
26	13	501
27	14	501
28	14	500
29	15	500
30	15	499
31	16	498
32	17	498
33	17	496
34	17	496
35	18	495
36	18	489
37	19	489
38	19	488
39	20	487
40	20	485
41	21	484
42	21	484
43	22	484
44	22	484
45	23	484
46	23	481
47	24	480
48	24	480
49	25	480
50	25	480
51	26	480
52	26	479
53	27	479
54	27	479
55	28	479
56	28	478
57	29	477
58	29	477
59	30	475
60	30	474
61	31	474
62	31	474
63	32	474
64	32	472
65	33	472
66	33	471
67	34	471
68	34	470
69	35	469
70	35	469
71	36	469
72	36	468
73	37	468
74	37	468
75	38	464
76	38	463
77	39	463
78	39	460
79	40	460
80	40	459
81	40	458
82	41	458
83	42	458
84	42	457
85	42	456
86	43	456
87	44	456
88	44	456
89	45	455
90	45	455
91	46	454
92	46	453
93	47	453
94	47	453
95	48	452
96	48	451
97	49	451
98	49	450
99	50	450
100	50	450
101	51	449
102	51	448
103	52	448
104	52	445
105	52	445
106	53	443
107	53	443
108	54	442
109	54	442
110	55	442
111	55	441
112	56	441
113	56	441
114	57	440
115	57	440
116	58	440
117	58	439
118	59	439
119	59	438
120	60	438
121	60	437
122	61	437
123	61	437
124	62	436
125	62	436
126	63	436
127	63	435
128	64	435
129	64	433
130	65	432
131	65	432
132	66	432
133	66	431
134	67	430
135	67	429
136	68	429
137	68	428
138	69	428
139	69	428
140	70	427
141	70	427
142	71	427
143	71	426
144	72	426
145	72	425
146	73	425
147	73	424
148	74	424
149	74	422
150	75	422
151	75	420
152	75	419
153	76	419
154	76	418
155	77	418
156	77	418
157	78	417
158	78	417
159	79	416
160	79	416
161	80	415
162	80	415
163	81	414
164	81	414
165	82	413
166	82	413
167	83	412
168	83	411
169	84	410
170	84	410
171	85	409
172	85	409
173	86	409
174	86	408
175	87	408
176	87	407
177	88	407
178	88	407
179	89	406
180	89	406
181	90	405
182	90	404
183	90	403
184	91	403
185	92	402
186	92	402
187	93	401
188	93	400
189	93	400
190	94	399
191	94	399
192	95	398
193	96	398
194	96	398
195	97	398
196	97	397
197	97	396
198	98	395
199	98	394
200	99	394
201	99	394
202	100	393
203	100	393
204	101	392
205	101	391
206	102	392
207	102	392
208	103	391
209	104	391
210	104	390
211	104	389
212	105	388
213	105	388
214	106	388
215	106	387
216	107	387
217	107	386
218	108	385
219	108	385
220	109	385
221	109	384
222	110	384
223	110	383
224	111	383
225	111	382
226	112	382
227	112	381
228	113	381
229	113	381
230	114	380
231	114	380
232	115	379
233	115	379
234	116	378
235	116	378
236	117	377
237	117	376
238	118	376
239	118	375
240	119	375
241	119	374
242	120	374
243	120	373
244	121	373
245	121	372
246	122	372
247	122	371
248	123	371
249	123	370
250	123	369
251	124	369
252	124	368
253	125	368
254	125	368
255	126	367
256	127	367
257	127	367
258	128	366
259	128	366
260	129	365
261	129	365
262	130	364
263	130	364
264	131	363
265	131	363
266	132	362
267	132	362
268	133	361
269	133	360
270	134	360
271	134	360
272	135	359
273	135	359
274	135	358
275	136	358
276	137	357
277	137	357
278	137	356
279	138	355
280	138	355
281	139	355
282	139	354
283	140	353
284	140	353
285	141	352
286	141	352
287	142	351
288	142	351
289	143	350
290	143	350
291	144	349
292	144	349
293	145	348
294	145	348
295	146	348
296	146	347
297	147	347
298	147	346
299	148	346
300	148	345
301	149	345
302	149	344
303	150	344
304	150	344
305	151	343
306	151	343
307	152	342
308	153	342
309	153	341
310	154	341
311	154	340
312	155	340
313	155	340
314	156	339
315	156	339
316	157	338
317	157	338
318	158	337
319	158	337
